cell_diam_pix,mean_pack_rat,std_pack_rat
3,0.693255920410156,0.000914904280899555
5,0.520709251403809,0.00133961600203125
7,0.514762058258057,0.00196140048189727
9,0.501404560089111,0.00244603470732174
11,0.515966205596924,0.00327479328430613
13,0.515891399383545,0.00386710919265025
15,0.487618846893311,0.00450094033723857
17,0.493858703613281,0.00507898869395915
19,0.498641937255859,0.00573449354825867
21,0.499130130767822,0.00659569615443069
23,0.488724849700928,0.00741794176186064
25,0.480217346191406,0.00792607461770959
27,0.483155647277832,0.00846831651598778
29,0.48123998260498,0.00941581088593502
31,0.480278369903564,0.0102277468753067
33,0.470993240356445,0.011287193546169
35,0.468128589630127,0.0109558975020578
37,0.465189861297607,0.0125218950721626
39,0.463105167388916,0.013354374621875
41,0.460029853820801,0.0135643479314269
43,0.452998237609863,0.0142277946656819
45,0.451910263061523,0.0159019505407658
47,0.448864562988281,0.0155818934773132
49,0.442819236755371,0.0165619473437234
51,0.441543674468994,0.0177623616673613
53,0.4370419921875,0.0187268903613055
55,0.434697292327881,0.0194954793154868
