img_name,sample_id,group_id,hits,misses,total
RGB_M1C1L_20x1,1,1,39,9,48
RGB_M1C1L_20x2,1,1,9,1,10
RGB_M1C1L_20x3,1,1,11,10,21
RGB_M1C1R_20x2,2,1,6,0,6
RGB_M1C2L_20x1,1,2,8,11,19
RGB_M1C2L_20x2,1,2,14,9,23
RGB_M1C2L_20x3,1,2,12,8,20
RGB_M1C2R_20x1,2,2,1,0,1
RGB_M1C2R_20x2,2,2,0,0,0
RGB_M1C2R_20x3,2,2,0,0,0
RGB_M1C3L_20x1,1,3,3,6,9
RGB_M1C3L_20x2,1,3,7,3,10
RGB_M1C3L_20x3,1,3,4,1,5
RGB_M2C1L_20x1,1,4,10,3,13
RGB_M2C1R_20x1,2,4,3,17,20
RGB_M2C2L_20x1,1,5,9,15,24
RGB_M2C2L_20x2,1,5,4,1,5
RGB_M2C2L_20x3,1,5,14,10,24
RGB_M2C2R_20x1,2,6,0,0,0
RGB_M2C2R_20x2,2,6,0,2,2
RGB_M2C2R_20x3,2,6,0,1,1
RGB_M2C3L_20x1,1,7,9,2,11
RGB_M2C3L_20x2,1,7,7,7,14
RGB_M2C3L_20x3,1,7,3,6,9
RGB_M2C3R_20x1,2,7,34,18,52
RGB_M2C3R_20x2,2,7,33,50,83
RGB_M2C3R_20x3,2,7,2,9,11
RGB_M3C1L_20x1,1,8,22,17,39
RGB_M3C1L_20x2,1,8,8,8,16
RGB_M3C1L_20x3,1,8,18,4,22
RGB_M3C1R_20x1,2,8,1,2,3
RGB_M3C1R_20x2,2,8,7,3,10
RGB_M3C2L_20x1,1,9,4,5,9
RGB_M3C2L_20x2,1,9,10,16,26
RGB_M3C2L_20x3,1,9,14,10,24
RGB_M3C2R_20x1,2,9,4,8,12
RGB_M3C2R_20x2,2,9,11,3,14
RGB_M3C2R_20x3,2,9,14,22,36
RGB_M4C1L_20x1,1,10,23,31,54
RGB_M4C1L_20x2,1,10,43,31,74
RGB_M4C1L_20x3,1,10,45,30,75
RGB_M4C1R_20x1,2,10,2,1,3
RGB_M4C1R_20x2,2,10,6,4,10
RGB_M4C1R_20x3,2,10,14,20,34
RGB_M4C2L_20x1,1,11,27,12,39
RGB_M4C2L_20x2,1,11,16,17,33
RGB_M4C2L_20x3,1,11,13,10,23
RGB_M4C2R_20x1,2,11,1,2,3
RGB_M4C2R_20x2,2,11,8,7,15
RGB_M4C2R_20x3,2,11,8,6,14
RGB_M5C2L_20x1,1,12,11,15,26
RGB_M5C2L_20x2,1,12,2,1,3
RGB_M5C2L_20x3,1,12,1,2,3
RGB_M5C2R_20x1,2,12,6,8,14
RGB_M5C2R_20x2,2,12,2,0,2
RGB_M5C2R_20x3,2,12,3,0,3
RGB_M6C1L_20x1,1,13,22,14,36
RGB_M6C1L_20x2,1,13,35,12,47
RGB_M6C1L_20x3,1,13,2,3,5
RGB_M6C1R_20x3,2,13,0,0,0
RGB_M6C2L_20x1,1,14,0,3,3
RGB_M6C2L_20x2,1,14,2,1,3
RGB_M6C2L_20x3,1,14,2,2,4
RGB_M6C2R_20x1,2,14,1,0,1
RGB_M6C2R_20x2,2,14,2,0,2
RGB_M6C2R_20x3,2,14,1,0,1
RGB_M7C1L_20x1,1,15,20,13,33
RGB_M7C1L_20x2,1,15,17,5,22
RGB_M7C1L_20x3,1,15,32,34,66
RGB_M7C1R_20x1,2,15,2,2,4
RGB_M7C1R_20x2,2,15,5,3,8
RGB_M7C1R_20x3,2,15,0,0,0
